char	digraph	description
ģ	g	0290
ģ	g	0291
ĥ	h>	latin capital letter h with circumflex
ĥ	h>	latin small letter h with circumflex
ħ	h/	latin capital letter h with stroke
ħ	h/	latin small letter h with stroke
ĩ	i?	latin capital letter i with tilde
ĩ	i?	latin small letter i with tilde
ī	i-	latin capital letter i with macron
ī	i-	latin small letter i with macron
ĭ	i(	latin capital letter i with breve
ĭ	i(	latin small letter i with breve
į	i;	latin capital letter i with ogonek
į	i;	latin small letter i with ogonek
i̇	i.	latin capital letter i with dot above
ı	i.	latin small letter dotless i
ĳ	ij	latin capital ligature ij
ĳ	ij	latin small ligature ij
ĵ	j>	latin capital letter j with circumflex
ĵ	j>	latin small letter j with circumflex
ķ	k	0310
ķ	k	0311
ĸ	kk	latin small letter kra
ĺ	l'	latin capital letter l with acute
ĺ	l'	latin small letter l with acute
ļ	l	0315
ļ	l	0316
ľ	l<	latin capital letter l with caron
ľ	l<	latin small letter l with caron
ŀ	l.	latin capital letter l with middle dot
ŀ	l.	latin small letter l with middle dot
ł	l/	latin capital letter l with stroke
ł	l/	latin small letter l with stroke
ń	n'	latin capital letter n with acute
ń	n'	latin small letter n with acute
ņ	n	0325
ņ	n	0326
ň	n<	latin capital letter n with caron
ň	n<	latin small letter n with caron
ŉ	'n	latin small letter n preceded by apostrophe
ŋ	ng	latin capital letter eng
ŋ	ng	latin small letter eng
ō	o-	latin capital letter o with macron
ō	o-	latin small letter o with macron
ŏ	o(	latin capital letter o with breve
ŏ	o(	latin small letter o with breve
ő	o\"	latin capital letter o with double acute
ő	o\"	latin small letter o with double acute
œ	oe	latin capital ligature oe
œ	oe	latin small ligature oe
ŕ	r'	latin capital letter r with acute
ŕ	r'	latin small letter r with acute
ŗ	r	0342
ŗ	r	0343
ř	r<	latin capital letter r with caron
ř	r<	latin small letter r with caron
ś	s'	latin capital letter s with acute
ś	s'	latin small letter s with acute
ŝ	s>	latin capital letter s with circumflex
ŝ	s>	latin small letter s with circumflex
ş	s	0350
ş	s	0351
š	s<	latin capital letter s with caron
š	s<	latin small letter s with caron
ţ	t	0354
ţ	t	0355
ť	t<	latin capital letter t with caron
ť	t<	latin small letter t with caron
ŧ	t/	latin capital letter t with stroke
ŧ	t/	latin small letter t with stroke
ũ	u?	latin capital letter u with tilde
ũ	u?	latin small letter u with tilde
ū	u-	latin capital letter u with macron
ū	u-	latin small letter u with macron
ŭ	u(	latin capital letter u with breve
ŭ	u(	latin small letter u with breve
ů	u0	latin capital letter u with ring above
ů	u0	latin small letter u with ring above
ű	u\"	latin capital letter u with double acute
ű	u\"	latin small letter u with double acute
ų	u;	latin capital letter u with ogonek
ų	u;	latin small letter u with ogonek
ŵ	w>	latin capital letter w with circumflex
ŵ	w>	latin small letter w with circumflex
ŷ	y>	latin capital letter y with circumflex
ŷ	y>	latin small letter y with circumflex
ÿ	y:	latin capital letter y with diaeresis
ź	z'	latin capital letter z with acute
ź	z'	latin small letter z with acute
ż	z.	latin capital letter z with dot above
ż	z.	latin small letter z with dot above
ž	z<	latin capital letter z with caron
ž	z<	latin small letter z with caron
ơ	o9	latin capital letter o with horn
ơ	o9	latin small letter o with horn
ƣ	oi	latin capital letter oi
ƣ	oi	latin small letter oi
ʀ	yr	latin letter yr
ư	u9	latin capital letter u with horn
ư	u9	latin small letter u with horn
ƶ	z/	latin capital letter z with stroke
ƶ	z/	latin small letter z with stroke
ʒ	ed	latin capital letter ezh
ǎ	a<	latin capital letter a with caron
ǎ	a<	latin small letter a with caron
ǐ	i<	latin capital letter i with caron
ǐ	i<	latin small letter i with caron
ǒ	o<	latin capital letter o with caron
ǒ	o<	latin small letter o with caron
ǔ	u<	latin capital letter u with caron
ǔ	u<	latin small letter u with caron
ǟ	a1	latin capital letter a with diaeresis and macron
ǟ	a1	latin small letter a with diaeresis and macron
ǡ	a7	latin capital letter a with dot above and macron
ǡ	a7	latin small letter a with dot above and macron
ǣ	a3	latin capital letter ae with macron
ǣ	a3	latin small letter ae with macron
ǥ	g/	latin capital letter g with stroke
ǥ	g/	latin small letter g with stroke
ǧ	g<	latin capital letter g with caron
ǧ	g<	latin small letter g with caron
ǩ	k<	latin capital letter k with caron
ǩ	k<	latin small letter k with caron
ǫ	o;	latin capital letter o with ogonek
ǫ	o;	latin small letter o with ogonek
ǭ	o1	latin capital letter o with ogonek and macron
ǭ	o1	latin small letter o with ogonek and macron
ǯ	ez	latin capital letter ezh with caron
ǯ	ez	latin small letter ezh with caron
ǰ	j<	latin small letter j with caron
ǵ	g'	latin capital letter g with acute
