char	digraph	description
∞	00	infinity
∟	-l	right angle
∠	-v	angle
∥	pp	parallel to
∧	an	logical and
∨	or	logical or
∩	(u	intersection
∪	)u	union
∫	in	integral
∬	di	double integral
∮	io	contour integral
∴	.:	therefore
∵	:.	because
∶	:r	ratio
∷	::	proportion
∼	?1	tilde operator
∾	cg	inverted lazy s
≃	?-	asymptotically equal to
≅	?=	approximately equal to
≈	?2	almost equal to
≌	=?	all equal to
≐	.=	approaches the limit
≓	hi	image of or approximately equal to
≠	!=	not equal to
≡	=3	identical to
≤	=<	less-than or equal to
≥	>=	greater-than or equal to
≪	<*	much less-than
≫	*>	much greater-than
≮	!<	not less-than
≯	!>	not greater-than
⊂	(c	subset of
⊃	)c	superset of
⊆	(_	subset of or equal to
⊇	)_	superset of or equal to
⊙	0.	circled dot operator
⊚	02	circled ring operator
⊥	-t	up tack
⋅	.p	dot operator
⋮	:3	vertical ellipsis
⋯	.3	midline horizontal ellipsis
⌂	eh	house
⌈	<7	left ceiling
⌉	>7	right ceiling
⌊	7<	left floor
⌋	7>	right floor
⌐	ni	reversed not sign
⌒	(a	arc
⌕	tr	telephone recorder
⌠	iu	top half integral
⌡	il	bottom half integral
⟨	<[	left mathematical angle bracket
⟩	]>	right mathematical angle bracket
␣	vs	open box
⑀	1h	ocr hook
⑁	3h	ocr chair
⑂	2h	ocr fork
⑃	4h	ocr inverted fork
⑆	1j	ocr branch bank identification
⑇	2j	ocr amount of check
⑈	3j	ocr dash
⑉	4j	ocr customer account number
⒈	1.	digit one full stop
⒉	2.	digit two full stop
⒊	3.	digit three full stop
⒋	4.	digit four full stop
⒌	5.	digit five full stop
⒍	6.	digit six full stop
⒎	7.	digit seven full stop
⒏	8.	digit eight full stop
⒐	9.	digit nine full stop
─	hh	box drawings light horizontal
━	hh	box drawings heavy horizontal
│	vv	box drawings light vertical
┃	vv	box drawings heavy vertical
┄	3-	box drawings light triple dash horizontal
┅	3_	box drawings heavy triple dash horizontal
┆	3!	box drawings light triple dash vertical
┇	3/	box drawings heavy triple dash vertical
┈	4-	box drawings light quadruple dash horizontal
┉	4_	box drawings heavy quadruple dash horizontal
┊	4!	box drawings light quadruple dash vertical
┋	4/	box drawings heavy quadruple dash vertical
┌	dr	box drawings light down and right
┍	dr	box drawings down light and right heavy
┎	dr	box drawings down heavy and right light
┏	dr	box drawings heavy down and right
┐	dl	box drawings light down and left
┑	dl	box drawings down light and left heavy
┒	dl	box drawings down heavy and left light
┓	ld	box drawings heavy down and left
└	ur	box drawings light up and right
┕	ur	box drawings up light and right heavy
┖	ur	box drawings up heavy and right light
┗	ur	box drawings heavy up and right
┘	ul	box drawings light up and left
┙	ul	box drawings up light and left heavy
┚	ul	box drawings up heavy and left light
┛	ul	box drawings heavy up and left
├	vr	box drawings light vertical and right
┝	vr	box drawings vertical light and right heavy
┠	vr	box drawings vertical heavy and right light
┣	vr	box drawings heavy vertical and right
┤	vl	box drawings light vertical and left
┥	vl	box drawings vertical light and left heavy
┨	vl	box drawings vertical heavy and left light
┫	vl	box drawings heavy vertical and left
┬	dh	box drawings light down and horizontal
┯	dh	box drawings down light and horizontal heavy
┰	dh	box drawings down heavy and horizontal light
┳	dh	box drawings heavy down and horizontal
┴	uh	box drawings light up and horizontal
┷	uh	box drawings up light and horizontal heavy
┸	uh	box drawings up heavy and horizontal light
┻	uh	box drawings heavy up and horizontal
┼	vh	box drawings light vertical and horizontal
┿	vh	box drawings vertical light and horizontal heavy
╂	vh	box drawings vertical heavy and horizontal light
╋	vh	box drawings heavy vertical and horizontal
╱	fd	box drawings light diagonal upper right to lower left
╲	bd	box drawings light diagonal upper left to lower right
▀	tb	upper half block
▄	lb	lower half block
█	fb	full block
▌	lb	left half block
▐	rb	right half block
░	.s	light shade
▒	:s	medium shade
▓	?s	dark shade
■	fs	black square
□	os	white square
▢	ro	white square with rounded corners
▣	rr	white square containing black small square
▤	rf	square with horizontal fill
▥	ry	square with vertical fill
▦	rh	square with orthogonal crosshatch fill
▧	rz	square with upper left to lower right fill
▨	rk	square with upper right to lower left fill
▩	rx	square with diagonal crosshatch fill
▪	sb	black small square
▬	sr	black rectangle
▭	or	white rectangle
▲	ut	black up-pointing triangle
△	ut	white up-pointing triangle
▶	pr	black right-pointing triangle
▷	tr	white right-pointing triangle
▼	dt	black down-pointing triangle
▽	dt	white down-pointing triangle
◀	pl	black left-pointing triangle
◁	tl	white left-pointing triangle
◆	db	black diamond
◇	dw	white diamond
◊	lz	lozenge
○	0m	white circle
◎	0o	bullseye
●	0m	black circle
◐	0l	circle with left half black
◑	0r	circle with right half black
◘	sn	inverse bullet
◙	ic	inverse white circle
◢	fd	black lower right triangle
◣	bd	black lower left triangle
★	*2	black star
☆	*1	white star
☜	<h	white left pointing index
☞	>h	white right pointing index
☺	0u	white smiling face
☻	0u	black smiling face
☼	su	white sun with rays
♀	fm	female sign
♂	ml	male sign
♠	cs	black spade suit
♡	ch	white heart suit
♢	cd	white diamond suit
♣	cc	black club suit
♩	md	quarter note
♪	m8	eighth note
♫	m2	beamed eighth notes
♭	mb	music flat sign
♮	mx	music natural sign
♯	mx	music sharp sign
✓	ok	check mark
✗	xx	ballot x
✠	-x	maltese cross
　	is	ideographic space
、		12289
。	._	ideographic full stop
〃	+\"	ditto mark
〄	+_	japanese industrial standard symbol
々	*_	ideographic iteration mark
〆	;_	ideographic closing mark
〇	0_	ideographic number zero
《	<+	left double angle bracket
》	>+	right double angle bracket
「	<'	left corner bracket
」	>'	right corner bracket
『	<\"	left white corner bracket
』	>\"	right white corner bracket
【	(\"	left black lenticular bracket
】	)\"	right black lenticular bracket
〒	=t	postal mark
〓	=_	geta mark
〔	('	left tortoise shell bracket
〕	)'	right tortoise shell bracket
〖	(i	left white lenticular bracket
〗	)i	right white lenticular bracket
〜	-?	wave dash
ぁ	a5	hiragana letter small a
あ	a5	hiragana letter a
ぃ	i5	hiragana letter small i
い	i5	hiragana letter i
ぅ	u5	hiragana letter small u
う	u5	hiragana letter u
ぇ	e5	hiragana letter small e
え	e5	hiragana letter e
ぉ	o5	hiragana letter small o
お	o5	hiragana letter o
か	ka	hiragana letter ka
が	ga	hiragana letter ga
き	ki	hiragana letter ki
ぎ	gi	hiragana letter gi
く	ku	hiragana letter ku
ぐ	gu	hiragana letter gu
け	ke	hiragana letter ke
げ	ge	hiragana letter ge
こ	ko	hiragana letter ko
ご	go	hiragana letter go
さ	sa	hiragana letter sa
ざ	za	hiragana letter za
し	si	hiragana letter si
じ	zi	hiragana letter zi
す	su	hiragana letter su
ず	zu	hiragana letter zu
せ	se	hiragana letter se
ぜ	ze	hiragana letter ze
そ	so	hiragana letter so
ぞ	zo	hiragana letter zo
た	ta	hiragana letter ta
だ	da	hiragana letter da
ち	ti	hiragana letter ti
ぢ	di	hiragana letter di
っ	tu	hiragana letter small tu
つ	tu	hiragana letter tu
づ	du	hiragana letter du
て	te	hiragana letter te
で	de	hiragana letter de
と	to	hiragana letter to
ど	do	hiragana letter do
な	na	hiragana letter na
に	ni	hiragana letter ni
ぬ	nu	hiragana letter nu
ね	ne	hiragana letter ne
の	no	hiragana letter no
は	ha	hiragana letter ha
ば	ba	hiragana letter ba
ぱ	pa	hiragana letter pa
ひ	hi	hiragana letter hi
び	bi	hiragana letter bi
ぴ	pi	hiragana letter pi
ふ	hu	hiragana letter hu
ぶ	bu	hiragana letter bu
ぷ	pu	hiragana letter pu
へ	he	hiragana letter he
べ	be	hiragana letter be
ぺ	pe	hiragana letter pe
ほ	ho	hiragana letter ho
ぼ	bo	hiragana letter bo
ぽ	po	hiragana letter po
ま	ma	hiragana letter ma
み	mi	hiragana letter mi
む	mu	hiragana letter mu
め	me	hiragana letter me
も	mo	hiragana letter mo
ゃ	ya	hiragana letter small ya
や	ya	hiragana letter ya
ゅ	yu	hiragana letter small yu
ゆ	yu	hiragana letter yu
ょ	yo	hiragana letter small yo
よ	yo	hiragana letter yo
ら	ra	hiragana letter ra
り	ri	hiragana letter ri
る	ru	hiragana letter ru
れ	re	hiragana letter re
ろ	ro	hiragana letter ro
ゎ	wa	hiragana letter small wa
わ	wa	hiragana letter wa
ゐ	wi	hiragana letter wi
ゑ	we	hiragana letter we
を	wo	hiragana letter wo
ん	n5	hiragana letter n
ゔ	vu	hiragana letter vu
゛	\"5	katakana-hiragana voiced sound mark
゜	05	katakana-hiragana semi-voiced sound mark
ゝ	*5	hiragana iteration mark
ゞ	+5	hiragana voiced iteration mark
ァ	a6	katakana letter small a
ア	a6	katakana letter a
ィ	i6	katakana letter small i
イ	i6	katakana letter i
ゥ	u6	katakana letter small u
ウ	u6	katakana letter u
ェ	e6	katakana letter small e
エ	e6	katakana letter e
ォ	o6	katakana letter small o
オ	o6	katakana letter o
カ	ka	katakana letter ka
ガ	ga	katakana letter ga
キ	ki	katakana letter ki
ギ	gi	katakana letter gi
ク	ku	katakana letter ku
グ	gu	katakana letter gu
ケ	ke	katakana letter ke
ゲ	ge	katakana letter ge
コ	ko	katakana letter ko
ゴ	go	katakana letter go
サ	sa	katakana letter sa
ザ	za	katakana letter za
シ	si	katakana letter si
ジ	zi	katakana letter zi
ス	su	katakana letter su
ズ	zu	katakana letter zu
セ	se	katakana letter se
ゼ	ze	katakana letter ze
ソ	so	katakana letter so
ゾ	zo	katakana letter zo
タ	ta	katakana letter ta
ダ	da	katakana letter da
チ	ti	katakana letter ti
ヂ	di	katakana letter di
ッ	tu	katakana letter small tu
ツ	tu	katakana letter tu
ヅ	du	katakana letter du
テ	te	katakana letter te
デ	de	katakana letter de
ト	to	katakana letter to
ド	do	katakana letter do
ナ	na	katakana letter na
ニ	ni	katakana letter ni
ヌ	nu	katakana letter nu
ネ	ne	katakana letter ne
ノ	no	katakana letter no
ハ	ha	katakana letter ha
バ	ba	katakana letter ba
パ	pa	katakana letter pa
ヒ	hi	katakana letter hi
ビ	bi	katakana letter bi
ピ	pi	katakana letter pi
フ	hu	katakana letter hu
ブ	bu	katakana letter bu
プ	pu	katakana letter pu
ヘ	he	katakana letter he
ベ	be	katakana letter be
ペ	pe	katakana letter pe
ホ	ho	katakana letter ho
ボ	bo	katakana letter bo
ポ	po	katakana letter po
マ	ma	katakana letter ma
ミ	mi	katakana letter mi
ム	mu	katakana letter mu
メ	me	katakana letter me
モ	mo	katakana letter mo
ャ	ya	katakana letter small ya
ヤ	ya	katakana letter ya
ュ	yu	katakana letter small yu
ユ	yu	katakana letter yu
ョ	yo	katakana letter small yo
ヨ	yo	katakana letter yo
ラ	ra	katakana letter ra
リ	ri	katakana letter ri
ル	ru	katakana letter ru
レ	re	katakana letter re
ロ	ro	katakana letter ro
ヮ	wa	katakana letter small wa
ワ	wa	katakana letter wa
ヰ	wi	katakana letter wi
ヱ	we	katakana letter we
ヲ	wo	katakana letter wo
ン	n6	katakana letter n
ヴ	vu	katakana letter vu
ヵ	ka	katakana letter small ka
ヶ	ke	katakana letter small ke
ヷ	va	katakana letter va
ヸ	vi	katakana letter vi
ヹ	ve	katakana letter ve
ヺ	vo	katakana letter vo
・	.6	katakana middle dot
ー	-6	katakana-hiragana prolonged sound mark
ヽ	*6	katakana iteration mark
ヾ	+6	katakana voiced iteration mark
ㄅ	b4	bopomofo letter b
ㄆ	p4	bopomofo letter p
ㄇ	m4	bopomofo letter m
ㄈ	f4	bopomofo letter f
ㄉ	d4	bopomofo letter d
ㄊ	t4	bopomofo letter t
ㄋ	n4	bopomofo letter n
ㄌ	l4	bopomofo letter l
ㄍ	g4	bopomofo letter g
ㄎ	k4	bopomofo letter k
ㄏ	h4	bopomofo letter h
ㄐ	j4	bopomofo letter j
ㄑ	q4	bopomofo letter q
ㄒ	x4	bopomofo letter x
ㄓ	zh	bopomofo letter zh
ㄔ	ch	bopomofo letter ch
ㄕ	sh	bopomofo letter sh
ㄖ	r4	bopomofo letter r
ㄗ	z4	bopomofo letter z
ㄘ	c4	bopomofo letter c
ㄙ	s4	bopomofo letter s
ㄚ	a4	bopomofo letter a
ㄛ	o4	bopomofo letter o
ㄜ	e4	bopomofo letter e
ㄞ	ai	bopomofo letter ai
ㄟ	ei	bopomofo letter ei
ㄠ	au	bopomofo letter au
ㄡ	ou	bopomofo letter ou
ㄢ	an	bopomofo letter an
ㄣ	en	bopomofo letter en
ㄤ	an	bopomofo letter ang
ㄥ	en	bopomofo letter eng
ㄦ	er	bopomofo letter er
ㄧ	i4	bopomofo letter i
ㄨ	u4	bopomofo letter u
ㄩ	iu	bopomofo letter iu
ㄪ	v4	bopomofo letter v
ㄫ	ng	bopomofo letter ng
ㄬ	gn	bopomofo letter gn
㈠	1c	parenthesized ideograph one
㈡	2c	parenthesized ideograph two
㈢	3c	parenthesized ideograph three
㈣	4c	parenthesized ideograph four
㈤	5c	parenthesized ideograph five
㈥	6c	parenthesized ideograph six
㈦	7c	parenthesized ideograph seven
㈧	8c	parenthesized ideograph eight
㈨	9c	parenthesized ideograph nine
ﬀ	ff	latin small ligature ff
ﬁ	fi	latin small ligature fi
ﬂ	fl	latin small ligature fl
ﬅ	ft	latin small ligature long s t
ﬆ	st	latin small ligature st
